City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san antonio de pale,-1.4014,5.6325,28.32,73,99,1.59,GQ,1682631787
1,okha,53.5739,142.9478,-0.52,90,100,5.26,RU,1682631787
2,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,52,20,2.0,RU,1682631787
3,bethel,41.3712,-73.414,13.69,78,75,5.14,US,1682631787
4,waitangi,-43.9535,-176.5597,12.68,76,98,1.34,NZ,1682631787
5,port-aux-francais,-49.35,70.2167,5.94,71,83,12.3,TF,1682631788
6,margaret river,-33.95,115.0667,12.47,72,90,2.36,AU,1682631788
7,hawaiian paradise park,19.5933,-154.9731,27.73,72,40,6.17,US,1682631788
8,ribeira grande,38.5167,-28.7,14.87,89,16,6.71,PT,1682631788
9,muikamachi,37.0667,138.8833,15.12,62,0,0.63,JP,1682631788
10,mpraeso,6.5932,-0.7346,21.44,95,100,1.24,GH,1682631788
11,egilsstadir,65.2653,-14.3948,-2.05,74,75,5.14,IS,1682631789
12,isafjordur,66.0755,-23.124,-1.47,64,15,3.2,IS,1682631583
13,eraan,9.0629,117.7016,25.99,88,95,2.04,PH,1682631789
14,port elizabeth,-33.918,25.5701,18.39,92,75,4.12,ZA,1682631789
15,vrangel',42.7297,133.0839,6.89,91,100,2.14,RU,1682631789
16,san luis,-33.295,-66.3356,20.72,41,11,3.05,AR,1682631714
17,lebu,-37.6167,-73.65,14.65,92,100,5.3,CL,1682631790
18,ilagan,17.1485,121.8892,22.84,85,2,0.97,PH,1682631791
19,avarua,-21.2078,-159.775,26.03,69,75,3.09,CK,1682631791
20,turka,49.1541,23.0297,0.2,89,28,0.78,UA,1682631791
21,vilyuchinsk,52.9306,158.4028,3.15,68,100,12.97,RU,1682631791
22,madang,-5.2246,145.7966,26.16,86,94,1.88,PG,1682631791
23,tolanaro,-25.0319,46.9987,22.04,88,75,2.06,MG,1682631661
24,geraldton,-28.7667,114.6,10.23,81,0,3.6,AU,1682631791
25,tazacorte,28.629,-17.9293,20.64,73,0,1.54,ES,1682631791
26,yellowknife,62.456,-114.3525,5.29,75,75,7.2,CA,1682631571
27,glace bay,46.1969,-59.957,8.83,74,75,3.09,CA,1682631792
28,east london,-33.0153,27.9116,20.68,69,97,3.64,ZA,1682631792
29,mandali,33.7499,45.5541,25.75,20,9,3.39,IQ,1682631792
30,pielavesi,63.2333,26.75,1.04,99,100,2.54,FI,1682631792
31,udachny,66.4167,112.4,-11.77,99,72,1.75,RU,1682631792
32,kapuskasing,49.4169,-82.4331,5.0,81,100,6.69,CA,1682631792
33,benghazi,32.1167,20.0667,17.13,59,0,7.15,LY,1682631637
34,ponta delgada,37.7333,-25.6667,17.4,94,20,5.14,PT,1682631793
35,pont rouge,48.8833,-72.0825,12.06,53,46,0.75,CA,1682631793
36,gisborne,-38.6533,178.0042,13.8,71,97,2.33,NZ,1682631793
37,elverum,60.8819,11.5623,-5.28,96,79,1.43,NO,1682631794
38,dapa,9.7594,126.0531,27.53,79,99,2.95,PH,1682631794
39,albany,42.6001,-73.9662,16.07,44,43,1.34,US,1682631794
40,bandon,51.7469,-8.7425,10.77,99,100,0.68,IE,1682631794
41,williamson,30.6502,-97.6003,27.93,46,0,2.57,US,1682631794
42,chardara,41.2547,67.9692,19.09,46,40,1.53,KZ,1682631794
43,vorgashor,67.5833,63.95,-7.24,95,46,5.38,RU,1682631599
